District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,eTax Portal,Ministry of Health,910.0,0.0,2022,Unknown
Gasabo,Land Registration Portal,Immigration Department,3822.0,93.6,2023,Dec
Rusizi,eTax Portal,Rwanda Revenue Authority,516.0,82.9,2024,Mar
Nyagatare,E-Visa Service,Ministry of ICT,4476.0,0.0,2024,Jun
Nyagatare,Digital Health Records,Rwanda Revenue Authority,0.0,0.0,2023,May
Rubavu,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2022,Jun
Musanze,eTax Portal,Rwanda Revenue Authority,0.0,98.7,2021,Aug
Burera,Digital Health Records,Ministry of Lands,0.0,54.1,2023,Unknown
Nyarugenge,eTax Portal,Ministry of ICT,0.0,84.0,2021,Apr
Nyamagabe,Online Business Registration,Ministry of Health,0.0,70.9,2021,Sep
Kicukiro,Digital Health Records,Immigration Department,0.0,0.0,2023,Aug
Gasabo,Digital Health Records,Immigration Department,4893.0,58.7,2024,Jun
Nyarugenge,Irembo Services,Ministry of Health,524.0,86.4,2021,Aug
Huye,Online Business Registration,Ministry of Lands,0.0,92.3,2021,Feb
Nyagatare,Digital Health Records,Immigration Department,0.0,0.0,2022,Aug
Nyanza,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2024,Dec
Gasabo,eTax Portal,Immigration Department,0.0,52.0,2021,Dec
Burera,Land Registration Portal,Ministry of ICT,0.0,75.7,2022,Aug
Huye,eTax Portal,Ministry of ICT,0.0,71.9,2024,Jun
Burera,E-Visa Service,Ministry of Health,0.0,0.0,2023,Feb
Nyamagabe,eTax Portal,Ministry of Lands,1578.0,0.0,2023,May
Nyagatare,Irembo Services,Ministry of Lands,3606.0,89.6,2022,Jan
Rulindo,E-Visa Service,Immigration Department,696.0,63.8,2023,Unknown
Rusizi,Digital Health Records,Ministry of Lands,2938.0,64.2,2021,Dec
Gasabo,eTax Portal,Ministry of Lands,2485.0,60.5,2024,Feb
Rwamagana,Irembo Services,Immigration Department,0.0,73.3,2021,Jan
Nyamagabe,Land Registration Portal,Ministry of ICT,0.0,86.7,2021,Unknown
Karongi,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2023,Jun
Rusizi,E-Visa Service,Ministry of Health,0.0,95.5,2021,Nov
Rubavu,Irembo Services,Ministry of ICT,0.0,0.0,2023,Feb
Huye,Land Registration Portal,Ministry of Lands,0.0,98.6,2024,Nov
Karongi,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Unknown
Musanze-,Digital Health Records,Immigration Department,4064.0,0.0,2021,Mar
Nyarugenge,eTax Portal,Ministry of Health,0.0,54.9,2022,Dec
Gakenke,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2023,Apr
Musanze,Land Registration Portal,Immigration Department,0.0,0.0,2023,Sep
Bugesera,eTax Portal,Immigration Department,0.0,0.0,2021,Mar
Bugesera,Online Business Registration,Rwanda Revenue Authority,0.0,82.6,2023,Sep
Rusizi,E-Visa Service,Rwanda Revenue Authority,1550.0,0.0,2023,Mar
Kicukiro,Online Business Registration,Ministry of Lands,0.0,92.9,2022,Jun
Rulindo,Land Registration Portal,Immigration Department,0.0,0.0,2022,Sep
Burera,eTax Portal,Ministry of ICT,4961.0,0.0,2021,Jul
Musanze,E-Visa Service,Ministry of ICT,0.0,98.5,2022,Aug
Gakenke,E-Visa Service,Immigration Department,0.0,0.0,2021,Apr
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2024,Unknown
Burera,E-Visa Service,Ministry of Health,387.0,66.5,2021,Jul
Ngoma,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2024,Nov
Bugesera,E-Visa Service,Rwanda Revenue Authority,4043.0,57.3,2021,Mar
Huye,Irembo Services,Ministry of Health,0.0,62.4,2023,Mar
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,429.0,97.4,2022,Nov
Kicukiro,E-Visa Service,Ministry of Health,2112.0,0.0,2024,Nov
Nyagatare,Irembo Services,Immigration Department,114.0,69.0,2021,Jul
Ngoma,eTax Portal,Ministry of Health,0.0,86.8,2022,Jul
Nyarugenge,Digital Health Records,Ministry of ICT,0.0,76.7,2021,Jan
Nyagatare,Irembo Services,Ministry of Health,1545.0,0.0,2022,Dec
Musanze,Land Registration Portal,Rwanda Revenue Authority,441.0,72.3,2022,Oct
Gakenke,eTax Portal,Immigration Department,4564.0,0.0,2021,Apr
Rusizi,E-Visa Service,Ministry of Health,4524.0,0.0,2024,Aug
Rulindo,Online Business Registration,Rwanda Revenue Authority,3611.0,0.0,2024,Oct
Bugesera,Irembo Services,Ministry of Health,3149.0,56.1,2023,Jul
Rwamagana,eTax Portal,Immigration Department,0.0,96.8,2022,Jul
Bugesera,eTax Portal,Immigration Department,0.0,82.0,2023,Jan
Bugesera,E-Visa Service,Ministry of ICT,0.0,72.6,2023,Dec
Huye,Digital Health Records,Immigration Department,4648.0,54.4,2021,Apr
Rusizi,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2021,Apr
Nyarugenge,Online Business Registration,Immigration Department,854.0,0.0,2021,May
