District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,eTax Portal,Ministry of Health,910,,2022,Unknown
Gasabo,Land Registration Portal,Immigration Department,3822,93.6,2023,Dec
Rusizi,eTax Portal,Rwanda Revenue Authority,516,82.9,2024,Mar
Nyagatare,E-Visa Service,Ministry of ICT,4476,,2024,Jun
Nyagatare,Digital Health Records,Rwanda Revenue Authority,,,2023,May
Rubavu,E-Visa Service,Rwanda Revenue Authority,,,2022,Jun
Musanze,eTax Portal,Rwanda Revenue Authority,,98.7,2021,Aug
Burera,Digital Health Records,Ministry of Lands,,54.1,2023,
Nyarugenge,eTax Portal,Ministry of ICT,,84,2021,Apr
Nyamagabe,Online Business Registration,Ministry of Health,,70.9,2021,Sep
Kicukiro,Digital Health Records,Immigration Department,,,2023,Aug
Gasabo,Digital Health Records,Immigration Department,4893,58.7,2024,Jun
Nyarugenge,Irembo Services,Ministry of Health,524,86.4,2021,Aug
Huye,Online Business Registration,Ministry of Lands,,92.3,2021,Feb
Nyagatare,Digital Health Records,Immigration Department,,,2022,Aug
Nyanza,Land Registration Portal,Rwanda Revenue Authority,,,2024,Dec
Gasabo,eTax Portal,Immigration Department,,52,2021,Dec
Burera,Land Registration Portal,Ministry of ICT,,75.7,2022,Aug
Huye,eTax Portal,Ministry of ICT,,71.9,2024,Jun
Burera,E-Visa Service,Ministry of Health,,,2023,Feb
Nyamagabe,eTax Portal,Ministry of Lands,1578,,2023,May
Nyagatare,Irembo Services,Ministry of Lands,3606,89.6,2022,Jan
Rulindo,E-Visa Service,Immigration Department,696,63.8,2023,
Rusizi,Digital Health Records,Ministry of Lands,2938,64.2,2021,Dec
Gasabo,eTax Portal,Ministry of Lands,2485,60.5,2024,Feb
Rwamagana,Irembo Services,Immigration Department,,73.3,2021,Jan
Nyamagabe,Land Registration Portal,Ministry of ICT,,86.7,2021,Unknown
Karongi,E-Visa Service,Rwanda Revenue Authority,,,2023,Jun
Rusizi,E-Visa Service,Ministry of Health,,95.5,2021,Nov
Rubavu,Irembo Services,Ministry of ICT,,,2023,Feb
Huye,Land Registration Portal,Ministry of Lands,,98.6,2024,Nov
Karongi,E-Visa Service,Ministry of Lands,,,2024,
Musanze-,Digital Health Records,Immigration Department,4064,,2021,Mar
Nyarugenge,eTax Portal,Ministry of Health,,54.9,2022,Dec
Gakenke,Online Business Registration,Rwanda Revenue Authority,,,2023,Apr
Musanze,Land Registration Portal,Immigration Department,,,2023,Sep
Bugesera,eTax Portal,Immigration Department,,,2021,Mar
